cruise,file,time,lat,lon,opp_evt_ratio,flow_rate,file_duration,pop,n_count,abundance,fsc_small,chl_small,pe
realtime,2015-03-23T02-39-13+00-00,2015-03-23T02:39:13+00:00,4011.6001,13313.4234,0.00158942112805349,2471.3437336,180.138,unknown,424,35.9533724665817,230.412910918135,17.358425849768,2.6864852824951
realtime,2015-03-23T02-42-13+00-00,2015-03-23T02:42:13+00:00,4011.188,13314.012,0.00160381556007555,2471.3437336,180.053,picoeuk,266,22.3637664334417,746.701814651762,757.924062963803,5.0564183848822
realtime,2015-03-23T02-42-13+00-00,2015-03-23T02:42:13+00:00,4011.188,13314.012,0.00160381556007555,2471.3437336,180.053,prochloro,3354,281.985235405126,9.60182292295302,8.87224513209935,1.49383600971261
realtime,2015-03-23T02-42-13+00-00,2015-03-23T02:42:13+00:00,4011.188,13314.012,0.00160381556007555,2471.3437336,180.053,synecho,198,16.6467133602311,61.1103254069318,30.2530946277516,26.8813712008094
realtime,2015-03-23T02-42-13+00-00,2015-03-23T02:42:13+00:00,4011.188,13314.012,0.00160381556007555,2471.3437336,180.053,unknown,421,35.395284467966,272.643253040357,21.4808846201771,8.95903093679381
realtime,2015-03-23T02-45-14+00-00,2015-03-23T02:45:14+00:00,4010.8768,13314.4621,0.00163731625673119,2471.3437336,180.119,picoeuk,279,22.9683711807037,763.288543810448,741.734801126102,2.97455966763925
realtime,2015-03-23T02-45-14+00-00,2015-03-23T02:45:14+00:00,4010.8768,13314.4621,0.00163731625673119,2471.3437336,180.119,prochloro,3446,283.688197450556,9.71431132233409,8.73786315622963,1.49415363256914
realtime,2015-03-23T02-45-14+00-00,2015-03-23T02:45:14+00:00,4010.8768,13314.4621,0.00163731625673119,2471.3437336,180.119,synecho,200,16.4647822083898,61.0089955438318,28.6782065647405,25.0906370030812
realtime,2015-03-23T02-45-14+00-00,2015-03-23T02:45:14+00:00,4010.8768,13314.4621,0.00163731625673119,2471.3437336,180.119,unknown,395,32.5179448615698,235.713716603631,22.013657658294,9.6426662916074
realtime,2015-03-23T02-48-14+00-00,2015-03-23T02:48:14+00:00,4010.5007,13314.9904,0.00152826801363194,2471.3437336,180.048,picoeuk,256,22.5876076840553,740.035839026314,746.379181398594,3.40891193498871
realtime,2015-03-23T02-48-14+00-00,2015-03-23T02:48:14+00:00,4010.5007,13314.9904,0.00152826801363194,2471.3437336,180.048,prochloro,3240,285.874409751325,9.3351917005352,8.51105426712898,1.4912583025699
realtime,2015-03-23T02-48-14+00-00,2015-03-23T02:48:14+00:00,4010.5007,13314.9904,0.00152826801363194,2471.3437336,180.048,synecho,181,15.9701444953672,63.0911935015293,31.0620043873342,26.6235452103893
realtime,2015-03-23T02-48-14+00-00,2015-03-23T02:48:14+00:00,4010.5007,13314.9904,0.00152826801363194,2471.3437336,180.048,unknown,341,30.0873992979018,223.865286936679,20.7133951246706,3.07945845452532
realtime,2015-03-23T02-51-14+00-00,2015-03-23T02:51:14+00:00,4010.0928,13315.565,0.00159602060379556,2471.3437336,180.132,picoeuk,247,20.8586253881201,765.717042141115,786.733265627118,2.93234629317287
realtime,2015-03-23T02-51-14+00-00,2015-03-23T02:51:14+00:00,4010.0928,13315.565,0.00159602060379556,2471.3437336,180.132,prochloro,3355,283.322624198959,9.5641251496189,8.76197515910161,1.49226659598042
realtime,2015-03-23T02-51-14+00-00,2015-03-23T02:51:14+00:00,4010.0928,13315.565,0.00159602060379556,2471.3437336,180.132,synecho,203,17.1429188412485,57.5339375668663,28.4953291108572,26.4396990702753
realtime,2015-03-23T02-51-14+00-00,2015-03-23T02:51:14+00:00,4010.0928,13315.565,0.00159602060379556,2471.3437336,180.132,unknown,404,34.1169419303664,230.919899819634,16.5197271084795,5.37695893190005
realtime,2015-03-23T02-54-14+00-00,2015-03-23T02:54:14+00:00,4009.6939,13316.11,0.0015539915556114,2471.3437336,180.076,picoeuk,281,24.3792267061082,768.184370551994,823.419472766007,2.5973919459788
realtime,2015-03-23T02-54-14+00-00,2015-03-23T02:54:14+00:00,4009.6939,13316.11,0.0015539915556114,2471.3437336,180.076,prochloro,3253,282.22642161911,9.2814377441078,8.6482518556414,1.49259009302312
realtime,2015-03-23T02-54-14+00-00,2015-03-23T02:54:14+00:00,4009.6939,13316.11,0.0015539915556114,2471.3437336,180.076,synecho,184,15.9636217577363,60.2379679489847,29.9763816955657,27.8099098760393
realtime,2015-03-23T02-54-14+00-00,2015-03-23T02:54:14+00:00,4009.6939,13316.11,0.0015539915556114,2471.3437336,180.076,unknown,388,33.6624197934875,273.245596877531,24.3826986144436,9.31699139049326
realtime,2015-03-23T02-57-15+00-00,2015-03-23T02:57:15+00:00,4009.3736,13316.5459,0.00167780424912979,2471.3437336,180.117,picoeuk,269,21.6109759981882,724.013100836338,772.470532260596,3.43285763432242
realtime,2015-03-23T02-57-15+00-00,2015-03-23T02:57:15+00:00,4009.3736,13316.5459,0.00167780424912979,2471.3437336,180.117,prochloro,3478,279.416262162448,9.18539570838736,8.50697264669215,1.48886729437561
realtime,2015-03-23T02-57-15+00-00,2015-03-23T02:57:15+00:00,4009.3736,13316.5459,0.00167780424912979,2471.3437336,180.117,synecho,199,15.987301946615,63.5436217271151,33.5654491271442,28.560277886269
realtime,2015-03-23T02-57-15+00-00,2015-03-23T02:57:15+00:00,4009.3736,13316.5459,0.00167780424912979,2471.3437336,180.117,unknown,502,40.329776769853,208.168004508691,13.2962471970014,4.14526052389611
realtime,2015-03-23T03-00-15+00-00,2015-03-23T03:00:15+00:00,4008.9535,13317.1329,0.00161967203715816,2471.3437336,180.07,picoeuk,264,21.976249328568,686.62489893547,702.990352658358,2.51563291901252
realtime,2015-03-23T03-00-15+00-00,2015-03-23T03:00:15+00:00,4008.9535,13317.1329,0.00161967203715816,2471.3437336,180.07,prochloro,3421,284.775564216027,8.98618196036485,8.59324745511156,1.49460630241511
realtime,2015-03-23T03-00-15+00-00,2015-03-23T03:00:15+00:00,4008.9535,13317.1329,0.00161967203715816,2471.3437336,180.07,synecho,184,15.3167798350625,57.1597687449108,28.9407402568463,26.9939685077404
realtime,2015-03-23T03-00-15+00-00,2015-03-23T03:00:15+00:00,4008.9535,13317.1329,0.00161967203715816,2471.3437336,180.07,unknown,425,35.3784316842477,191.799321931043,18.1110180409472,8.43980210184978
realtime,2015-03-23T03-03-15+00-00,2015-03-23T03:03:15+00:00,4008.5285,13317.7229,0.00161850537557528,2471.3437336,180.005,picoeuk,281,23.4167004710724,750.165507670492,804.890922420301,2.74959483770864
realtime,2015-03-23T03-03-15+00-00,2015-03-23T03:03:15+00:00,4008.5285,13317.7229,0.00161850537557528,2471.3437336,180.005,prochloro,3407,283.917076530049,8.92873584124822,8.48755887063516,1.48569643273317
realtime,2015-03-23T03-03-15+00-00,2015-03-23T03:03:15+00:00,4008.5285,13317.7229,0.00161850537557528,2471.3437336,180.005,synecho,188,15.6666892831374,62.6189872749397,33.2584526706176,25.9001146942847
realtime,2015-03-23T03-03-15+00-00,2015-03-23T03:03:15+00:00,4008.5285,13317.7229,0.00161850537557528,2471.3437336,180.005,unknown,425,35.4167177943266,209.682175613946,22.0886966252961,5.33098125620372
realtime,2015-03-23T03-06-15+00-00,2015-03-23T03:06:15+00:00,4008.1145,13318.3099,0.0015253070649467,2471.3437336,180.143,picoeuk,277,24.47502770068,750.181651942975,793.689621911788,2.58779573530419
realtime,2015-03-23T03-06-15+00-00,2015-03-23T03:06:15+00:00,4008.1145,13318.3099,0.0015253070649467,2471.3437336,180.143,prochloro,3198,282.567287316876,8.92034542817165,8.53973808522059,1.50495439349961
realtime,2015-03-23T03-06-15+00-00,2015-03-23T03:06:15+00:00,4008.1145,13318.3099,0.0015253070649467,2471.3437336,180.143,synecho,218,19.2619351579359,64.1995744791661,30.4750851966888,27.5153810994894
realtime,2015-03-23T03-06-15+00-00,2015-03-23T03:06:15+00:00,4008.1145,13318.3099,0.0015253070649467,2471.3437336,180.143,unknown,380,33.5758502753011,225.82583263969,25.906465831592,14.5543515063609
realtime,2015-03-23T03-09-16+00-00,2015-03-23T03:09:16+00:00,4007.7993,13318.7564,0.00158907793752675,2471.3437336,180.083,picoeuk,272,23.0764545434093,813.014110339815,850.786264027991,5.15445305373903
realtime,2015-03-23T03-09-16+00-00,2015-03-23T03:09:16+00:00,4007.7993,13318.7564,0.00158907793752675,2471.3437336,180.083,prochloro,3343,283.61980712727,8.89457909719832,8.66862782758839,1.49709679799076
realtime,2015-03-23T03-09-16+00-00,2015-03-23T03:09:16+00:00,4007.7993,13318.7564,0.00158907793752675,2471.3437336,180.083,synecho,208,17.6467005331954,60.7878282695749,30.8459440494895,28.2281102982171
realtime,2015-03-23T03-09-16+00-00,2015-03-23T03:09:16+00:00,4007.7993,13318.7564,0.00158907793752675,2471.3437336,180.083,unknown,417,35.3782409728003,252.472135436793,26.703294539828,2.95852719717845
realtime,2015-03-23T03-12-16+00-00,2015-03-23T03:12:16+00:00,4007.4003,13319.317,0.00156047341115435,2471.3437336,180.036,picoeuk,284,24.5426078051054,741.324692047291,765.349864789065,2.38170731455382
realtime,2015-03-23T03-12-16+00-00,2015-03-23T03:12:16+00:00,4007.4003,13319.317,0.00156047341115435,2471.3437336,180.036,prochloro,3257,281.462231060663,8.86089297422216,8.12750131347821,1.49768634763262
realtime,2015-03-23T03-12-16+00-00,2015-03-23T03:12:16+00:00,4007.4003,13319.317,0.00156047341115435,2471.3437336,180.036,synecho,195,16.8514384577308,60.6357507696754,26.3313805226442,24.3150462856166
realtime,2015-03-23T03-12-16+00-00,2015-03-23T03:12:16+00:00,4007.4003,13319.317,0.00156047341115435,2471.3437336,180.036,unknown,422,36.4682411751918,249.967505836872,19.7190412577335,9.348176141032
realtime,2015-03-23T03-15-16+00-00,2015-03-23T03:15:16+00:00,4007.0033,13319.9375,0.00157155578362714,2471.3437336,180.144,picoeuk,278,23.8403863197662,739.762081078789,691.11618395744,13.39299334149
realtime,2015-03-23T03-15-16+00-00,2015-03-23T03:15:16+00:00,4007.0033,13319.9375,0.00157155578362714,2471.3437336,180.144,prochloro,3249,278.623795514102,8.69252589455578,7.94847851587521,1.49752683143774
realtime,2015-03-23T03-15-16+00-00,2015-03-23T03:15:16+00:00,4007.0033,13319.9375,0.00157155578362714,2471.3437336,180.144,synecho,202,17.3228706352258,62.0597118808403,26.4793375179645,24.611507613735
realtime,2015-03-23T03-15-16+00-00,2015-03-23T03:15:16+00:00,4007.0033,13319.9375,0.00157155578362714,2471.3437336,180.144,unknown,436,37.3899584007844,275.018300501463,21.7144293246576,20.013571518307
realtime,2015-03-23T03-18-16+00-00,2015-03-23T03:18:16+00:00,4006.6081,13320.5534,0.00153928968887599,2471.3437336,180.039,picoeuk,310,27.1576906691798,757.354511731584,777.604474993143,14.5637908331577
realtime,2015-03-23T03-18-16+00-00,2015-03-23T03:18:16+00:00,4006.6081,13320.5534,0.00153928968887599,2471.3437336,180.039,prochloro,3076,269.474375801281,8.77683715586599,7.7599548357856,1.48355807199901
realtime,2015-03-23T03-18-16+00-00,2015-03-23T03:18:16+00:00,4006.6081,13320.5534,0.00153928968887599,2471.3437336,180.039,synecho,224,19.6236216448267,64.2442859456534,26.9545531290551,22.7012165942423
realtime,2015-03-23T03-18-16+00-00,2015-03-23T03:18:16+00:00,4006.6081,13320.5534,0.00153928968887599,2471.3437336,180.039,unknown,462,40.473719642455,208.935845874175,12.7864594917877,3.75986502602629
realtime,2015-03-23T03-21-16+00-00,2015-03-23T03:21:16+00:00,4006.2984,13321.0284,0.00150400664339055,2471.3437336,180.117,picoeuk,283,25.3629678892226,764.281271352658,820.384844211711,2.90289377873628
realtime,2015-03-23T03-21-16+00-00,2015-03-23T03:21:16+00:00,4006.2984,13321.0284,0.00150400664339055,2471.3437336,180.117,prochloro,3083,276.303992941601,9.01681324892603,7.95090143570099,1.50170880902135
